sku,product_name,category,brand,unit_cost,unit_price,shelf_capacity_units,lead_time_days,supplier_id
SKU10032,Mercearia MarcaC 032,Mercearia,MarcaC,22.56,30.41,58,5,FORN202
SKU10033,Laticinios MarcaPropria 033,Laticinios,MarcaPropria,9.81,13.36,192,2,FORN203
SKU10034,Limpeza Premium 034,Limpeza,Premium,6.59,9.53,24,5,FORN204
SKU10035,Padaria Regional 035,Padaria,Regional,8.83,15.82,54,1,FORN205
SKU10036,Padaria MarcaA 036,Padaria,MarcaA,3.13,4.75,127,1,FORN206
SKU10037,Limpeza MarcaB 037,Limpeza,MarcaB,11.45,17.14,36,7,FORN207
SKU10038,Hortifruti MarcaC 038,Hortifruti,MarcaC,9.21,14.44,90,2,FORN208
SKU10039,Padaria MarcaPropria 039,Padaria,MarcaPropria,15.95,24.9,42,1,FORN209
SKU10040,Bebidas Premium 040,Bebidas,Premium,9.46,14.47,24,3,FORN210
SKU10041,Higiene Regional 041,Higiene,Regional,10.02,16.06,28,6,FORN211
SKU10042,Mercearia MarcaA 042,Mercearia,MarcaA,18.52,25.01,33,4,FORN212
SKU10043,Padaria MarcaB 043,Padaria,MarcaB,10.02,18.22,51,1,FORN213
SKU10044,Padaria MarcaC 044,Padaria,MarcaC,6.61,10.92,30,1,FORN214
SKU10045,Mercearia MarcaPropria 045,Mercearia,MarcaPropria,16.72,23.51,69,4,FORN200
SKU10046,Laticinios Premium 046,Laticinios,Premium,2.65,3.78,127,2,FORN201
SKU10047,Limpeza Regional 047,Limpeza,Regional,8.21,11.53,27,5,FORN202
SKU10048,Laticinios MarcaA 048,Laticinios,MarcaA,12.46,17.41,80,1,FORN203
SKU10049,Mercearia MarcaB 049,Mercearia,MarcaB,6.06,8.24,68,3,FORN204
SKU10050,Bebidas MarcaC 050,Bebidas,MarcaC,3.3,5.07,56,3,FORN205
SKU10051,Limpeza MarcaPropria 051,Limpeza,MarcaPropria,23.57,34.11,18,7,FORN206
SKU10052,Bebidas Premium 052,Bebidas,Premium,12.61,17.83,108,3,FORN207
SKU10053,Hortifruti Regional 053,Hortifruti,Regional,5.94,9.01,103,1,FORN208
SKU10054,Padaria MarcaA 054,Padaria,MarcaA,13.25,21.3,227,2,FORN209
SKU10055,Bebidas MarcaB 055,Bebidas,MarcaB,12.86,17.85,224,2,FORN210
SKU10056,Padaria MarcaC 056,Padaria,MarcaC,3.45,5.26,58,1,FORN211
SKU10057,Mercearia MarcaPropria 057,Mercearia,MarcaPropria,12.71,17.34,32,4,FORN212
SKU10058,Bebidas Premium 058,Bebidas,Premium,6.23,8.58,43,4,FORN213
SKU10059,Higiene Regional 059,Higiene,Regional,4.41,6.36,54,7,FORN214
SKU10060,Laticinios MarcaA 060,Laticinios,MarcaA,16.99,23.52,80,2,FORN200
SKU10061,Bebidas MarcaB 061,Bebidas,MarcaB,6.09,9.22,96,2,FORN201
SKU10062,Hortifruti MarcaC 062,Hortifruti,MarcaC,4.9,7.84,37,2,FORN202
SKU10063,Congelados MarcaPropria 063,Congelados,MarcaPropria,9.17,12.63,46,4,FORN203
SKU10064,Congelados Premium 064,Congelados,Premium,9.44,13.96,32,4,FORN204
SKU10065,Higiene Regional 065,Higiene,Regional,26.73,41.1,13,7,FORN205
SKU10066,Limpeza MarcaA 066,Limpeza,MarcaA,4.12,5.61,22,6,FORN206
SKU10067,Hortifruti MarcaB 067,Hortifruti,MarcaB,3.19,4.64,123,2,FORN207
SKU10068,Higiene MarcaC 068,Higiene,MarcaC,9.78,15.27,24,4,FORN208
SKU10069,Higiene MarcaPropria 069,Higiene,MarcaPropria,16.36,23.59,19,7,FORN209
SKU10070,Hortifruti Premium 070,Hortifruti,Premium,6.12,9.42,66,1,FORN210
SKU10071,Mercearia Regional 071,Mercearia,Regional,12.75,18.79,36,4,FORN211
SKU10072,Bebidas MarcaA 072,Bebidas,MarcaA,2.76,3.8,96,4,FORN212
SKU10073,Congelados MarcaB 073,Congelados,MarcaB,12.57,16.72,61,5,FORN213
SKU10074,Limpeza MarcaC 074,Limpeza,MarcaC,22.53,34.37,10,3,FORN214
SKU10075,Limpeza MarcaPropria 075,Limpeza,MarcaPropria,18.66,26.95,24,4,FORN200
SKU10076,Limpeza Premium 076,Limpeza,Premium,20.08,27.37,44,4,FORN201
SKU10077,Laticinios Regional 077,Laticinios,Regional,15.07,21.26,67,3,FORN202
SKU10078,Mercearia MarcaA 078,Mercearia,MarcaA,18.86,27.41,40,4,FORN203
SKU10079,Mercearia MarcaB 079,Mercearia,MarcaB,3.48,4.86,24,3,FORN204
SKU10080,Hortifruti MarcaC 080,Hortifruti,MarcaC,4.11,6.45,144,2,FORN205
SKU10081,Limpeza MarcaPropria 081,Limpeza,MarcaPropria,16.87,23.42,127,6,FORN206
SKU10082,Padaria Premium 082,Padaria,Premium,6.4,9.78,20,1,FORN207
SKU10083,Limpeza Regional 083,Limpeza,Regional,23.79,34.4,49,5,FORN208
SKU10084,Limpeza MarcaA 084,Limpeza,MarcaA,15.35,21.37,33,7,FORN209
SKU10085,Congelados MarcaB 085,Congelados,MarcaB,27.71,39.82,22,5,FORN210
SKU10086,Bebidas MarcaC 086,Bebidas,MarcaC,10.18,15.71,44,2,FORN211
SKU10087,Higiene MarcaPropria 087,Higiene,MarcaPropria,17.16,24.2,27,6,FORN212
SKU10088,Higiene Premium 088,Higiene,Premium,26.79,41.2,71,5,FORN213
SKU10089,Limpeza Regional 089,Limpeza,Regional,18.21,25.14,62,5,FORN214
SKU10090,Laticinios MarcaA 090,Laticinios,MarcaA,18.5,26.03,189,3,FORN200
SKU10091,Hortifruti MarcaB 091,Hortifruti,MarcaB,4.12,6.1,125,2,FORN201
SKU10092,Congelados MarcaC 092,Congelados,MarcaC,19.58,27.95,25,4,FORN202
SKU10093,Hortifruti MarcaPropria 093,Hortifruti,MarcaPropria,5.59,8.67,274,1,FORN203
SKU10094,Higiene Premium 094,Higiene,Premium,4.97,7.41,41,3,FORN204
SKU10095,Higiene Regional 095,Higiene,Regional,12.67,19.74,43,6,FORN205
SKU10096,Laticinios MarcaA 096,Laticinios,MarcaA,20.09,27.81,46,2,FORN206
SKU10097,Limpeza MarcaB 097,Limpeza,MarcaB,18.54,26.71,44,4,FORN207
SKU10098,Hortifruti MarcaC 098,Hortifruti,MarcaC,2.43,3.9,72,2,FORN208
SKU10099,Mercearia MarcaPropria 099,Mercearia,MarcaPropria,9.4,13.84,102,3,FORN209
SKU10100,Hortifruti Premium 100,Hortifruti,Premium,2.69,4.09,41,1,FORN210
SKU10101,Laticinios Regional 101,Laticinios,Regional,3.07,4.16,79,2,FORN211
SKU10102,Mercearia MarcaA 102,Mercearia,MarcaA,24.87,32.68,49,3,FORN212
SKU10103,Congelados MarcaB 103,Congelados,MarcaB,17.6,25.72,48,3,FORN213
SKU10104,Higiene MarcaC 104,Higiene,MarcaC,10.47,15.92,52,7,FORN214
SKU10105,Bebidas MarcaPropria 105,Bebidas,MarcaPropria,8.11,11.78,240,2,FORN200
SKU10106,Hortifruti Premium 106,Hortifruti,Premium,1.11,1.6,99,1,FORN201
SKU10107,Higiene Regional 107,Higiene,Regional,9.11,14.68,8,6,FORN202
SKU10108,Hortifruti MarcaA 108,Hortifruti,MarcaA,7.26,10.99,70,1,FORN203
SKU10109,Mercearia MarcaB 109,Mercearia,MarcaB,16.4,23.28,34,4,FORN204
SKU10110,Padaria MarcaC 110,Padaria,MarcaC,15.78,24.58,51,2,FORN205
SKU10111,Padaria MarcaPropria 111,Padaria,MarcaPropria,8.86,16.27,122,2,FORN206
SKU10112,Mercearia Premium 112,Mercearia,Premium,13.66,18.28,100,3,FORN207
SKU10113,Hortifruti Regional 113,Hortifruti,Regional,8.03,11.78,58,1,FORN208
SKU10114,Bebidas MarcaA 114,Bebidas,MarcaA,10.65,16.5,39,4,FORN209
SKU10115,Padaria MarcaB 115,Padaria,MarcaB,10.23,18.58,83,1,FORN210
SKU10116,Padaria MarcaC 116,Padaria,MarcaC,15.32,24.15,21,2,FORN211
SKU10117,Padaria MarcaPropria 117,Padaria,MarcaPropria,12.07,19.99,34,1,FORN212
SKU10118,Congelados Premium 118,Congelados,Premium,30.44,44.14,34,3,FORN213
SKU10119,Laticinios Regional 119,Laticinios,Regional,4.63,6.52,93,3,FORN214
SKU10120,Hortifruti MarcaA 120,Hortifruti,MarcaA,7.55,11.39,145,2,FORN200
SKU10121,Mercearia MarcaB 121,Mercearia,MarcaB,12.27,17.08,11,5,FORN201
SKU10122,Higiene MarcaC 122,Higiene,MarcaC,16.67,26.23,28,6,FORN202
SKU10123,Congelados MarcaPropria 123,Congelados,MarcaPropria,23.99,34.78,23,3,FORN203
SKU10124,Congelados Premium 124,Congelados,Premium,33.36,48.67,33,6,FORN204
SKU10125,Bebidas Regional 125,Bebidas,Regional,11.96,17.76,149,4,FORN205
SKU10126,Bebidas MarcaA 126,Bebidas,MarcaA,5.0,6.97,16,2,FORN206
SKU10127,Mercearia MarcaB 127,Mercearia,MarcaB,18.17,26.48,47,2,FORN207
SKU10128,Bebidas MarcaC 128,Bebidas,MarcaC,9.11,14.12,90,4,FORN208
SKU10129,Higiene MarcaPropria 129,Higiene,MarcaPropria,11.05,17.55,11,4,FORN209
SKU10130,Higiene Premium 130,Higiene,Premium,5.75,8.2,54,6,FORN210
SKU10131,Hortifruti Regional 131,Hortifruti,Regional,1.4,2.05,102,1,FORN211
SKU10132,Hortifruti MarcaA 132,Hortifruti,MarcaA,7.49,11.99,126,1,FORN212
SKU10133,Laticinios MarcaB 133,Laticinios,MarcaB,12.81,16.48,45,1,FORN213
SKU10134,Limpeza MarcaC 134,Limpeza,MarcaC,25.93,39.48,47,4,FORN214
SKU10135,Laticinios MarcaPropria 135,Laticinios,MarcaPropria,11.86,15.82,140,3,FORN200
SKU10136,Congelados Premium 136,Congelados,Premium,33.88,49.03,40,6,FORN201
SKU10137,Hortifruti Regional 137,Hortifruti,Regional,4.3,7.06,76,2,FORN202
SKU10138,Bebidas MarcaA 138,Bebidas,MarcaA,10.21,14.8,63,4,FORN203
SKU10139,Congelados MarcaB 139,Congelados,MarcaB,7.06,9.73,12,3,FORN204
SKU10140,Padaria MarcaC 140,Padaria,MarcaC,8.68,14.78,62,2,FORN205
SKU10141,Hortifruti MarcaPropria 141,Hortifruti,MarcaPropria,7.91,12.33,61,2,FORN206
SKU10142,Higiene Premium 142,Higiene,Premium,28.0,41.84,49,5,FORN207
SKU10143,Higiene Regional 143,Higiene,Regional,24.39,37.55,67,6,FORN208
SKU10144,Congelados MarcaA 144,Congelados,MarcaA,5.13,7.63,17,6,FORN209
SKU10145,Hortifruti MarcaB 145,Hortifruti,MarcaB,4.27,6.53,85,2,FORN210
SKU10146,Congelados MarcaC 146,Congelados,MarcaC,5.99,8.14,87,5,FORN211
SKU10147,Congelados MarcaPropria 147,Congelados,MarcaPropria,7.79,10.81,12,5,FORN212
SKU10148,Bebidas Premium 148,Bebidas,Premium,8.95,12.97,41,4,FORN213
SKU10149,Bebidas Regional 149,Bebidas,Regional,9.7,13.56,72,2,FORN214
SKU10150,Higiene MarcaA 150,Higiene,MarcaA,24.65,35.5,68,4,FORN200
SKU10151,Mercearia MarcaB 151,Mercearia,MarcaB,21.62,30.69,57,4,FORN201
SKU10152,Hortifruti MarcaC 152,Hortifruti,MarcaC,7.66,11.48,241,1,FORN202
SKU10153,Limpeza MarcaPropria 153,Limpeza,MarcaPropria,21.64,32.83,47,4,FORN203
SKU10154,Congelados Premium 154,Congelados,Premium,5.97,8.15,59,5,FORN204
SKU10155,Congelados Regional 155,Congelados,Regional,12.16,16.32,38,6,FORN205
SKU10156,Bebidas MarcaA 156,Bebidas,MarcaA,7.96,12.14,290,3,FORN206
SKU10157,Congelados MarcaB 157,Congelados,MarcaB,29.62,43.76,31,4,FORN207
SKU10158,Mercearia MarcaC 158,Mercearia,MarcaC,2.32,3.14,15,3,FORN208
SKU10159,Padaria MarcaPropria 159,Padaria,MarcaPropria,8.8,13.84,154,2,FORN209
SKU10160,Laticinios Premium 160,Laticinios,Premium,16.4,21.45,47,2,FORN210
SKU10161,Congelados Regional 161,Congelados,Regional,5.17,7.3,22,3,FORN211
SKU10162,Bebidas MarcaA 162,Bebidas,MarcaA,5.96,8.72,139,3,FORN212
SKU10163,Congelados MarcaB 163,Congelados,MarcaB,33.19,45.41,8,4,FORN213
SKU10164,Mercearia MarcaC 164,Mercearia,MarcaC,18.57,24.49,19,4,FORN214
SKU10165,Higiene MarcaPropria 165,Higiene,MarcaPropria,8.59,12.98,15,7,FORN200
SKU10166,Limpeza Premium 166,Limpeza,Premium,22.86,34.7,24,7,FORN201
SKU10167,Hortifruti Regional 167,Hortifruti,Regional,3.93,6.2,106,2,FORN202
SKU10168,Mercearia MarcaA 168,Mercearia,MarcaA,21.83,30.31,69,3,FORN203
SKU10169,Laticinios MarcaB 169,Laticinios,MarcaB,8.8,11.42,66,2,FORN204
SKU10170,Hortifruti MarcaC 170,Hortifruti,MarcaC,6.4,9.47,42,1,FORN205
SKU10171,Padaria MarcaPropria 171,Padaria,MarcaPropria,6.95,11.13,20,2,FORN206
SKU10172,Limpeza Premium 172,Limpeza,Premium,9.39,13.89,48,7,FORN207
SKU10173,Hortifruti Regional 173,Hortifruti,Regional,8.22,13.47,63,2,FORN208
SKU10174,Congelados MarcaA 174,Congelados,MarcaA,9.62,14.25,32,4,FORN209
SKU10175,Mercearia MarcaB 175,Mercearia,MarcaB,3.88,5.71,80,3,FORN210
SKU10176,Padaria MarcaC 176,Padaria,MarcaC,5.35,9.86,72,2,FORN211
SKU10177,Padaria MarcaPropria 177,Padaria,MarcaPropria,10.1,18.51,97,2,FORN212
SKU10178,Limpeza Premium 178,Limpeza,Premium,24.42,33.07,46,6,FORN213
SKU10179,Hortifruti Regional 179,Hortifruti,Regional,10.31,14.98,128,1,FORN214
SKU10180,Mercearia MarcaA 180,Mercearia,MarcaA,9.19,12.48,31,3,FORN200
SKU10181,Congelados MarcaB 181,Congelados,MarcaB,16.89,23.95,22,5,FORN201
SKU10182,Congelados MarcaC 182,Congelados,MarcaC,8.96,12.02,28,6,FORN202
SKU10183,Bebidas MarcaPropria 183,Bebidas,MarcaPropria,7.38,11.41,86,3,FORN203
SKU10184,Mercearia Premium 184,Mercearia,Premium,24.8,34.92,33,5,FORN204
SKU10185,Mercearia Regional 185,Mercearia,Regional,18.22,25.43,85,2,FORN205
SKU10186,Mercearia MarcaA 186,Mercearia,MarcaA,16.5,22.05,43,3,FORN206
SKU10187,Laticinios MarcaB 187,Laticinios,MarcaB,10.55,13.9,44,3,FORN207
SKU10188,Congelados MarcaC 188,Congelados,MarcaC,34.22,46.27,46,6,FORN208
SKU10189,Bebidas MarcaPropria 189,Bebidas,MarcaPropria,6.59,10.2,25,4,FORN209
SKU10190,Padaria Premium 190,Padaria,Premium,3.0,5.09,24,1,FORN210
SKU10191,Bebidas Regional 191,Bebidas,Regional,5.36,8.16,36,4,FORN211
SKU10192,Hortifruti MarcaA 192,Hortifruti,MarcaA,1.62,2.41,29,2,FORN212
SKU10193,Higiene MarcaB 193,Higiene,MarcaB,7.73,11.48,22,7,FORN213
SKU10194,Padaria MarcaC 194,Padaria,MarcaC,1.47,2.41,110,1,FORN214
SKU10195,Laticinios MarcaPropria 195,Laticinios,MarcaPropria,11.16,15.51,35,3,FORN200
SKU10196,Mercearia Premium 196,Mercearia,Premium,16.25,23.31,79,5,FORN201
SKU10197,Bebidas Regional 197,Bebidas,Regional,5.54,7.82,128,4,FORN202
SKU10198,Hortifruti MarcaA 198,Hortifruti,MarcaA,4.33,7.18,256,1,FORN203
SKU10199,Hortifruti MarcaB 199,Hortifruti,MarcaB,9.97,14.45,91,2,FORN204
SKU10200,Congelados MarcaC 200,Congelados,MarcaC,26.41,39.09,41,3,FORN205
SKU10201,Laticinios MarcaPropria 201,Laticinios,MarcaPropria,13.75,17.83,43,2,FORN206
SKU10202,Hortifruti Premium 202,Hortifruti,Premium,3.6,5.34,61,2,FORN207
SKU10203,Congelados Regional 203,Congelados,Regional,30.91,45.47,20,4,FORN208
SKU10204,Limpeza MarcaA 204,Limpeza,MarcaA,9.08,12.46,10,6,FORN209
SKU10205,Higiene MarcaB 205,Higiene,MarcaB,11.14,16.66,21,4,FORN210
SKU10206,Limpeza MarcaC 206,Limpeza,MarcaC,25.88,36.73,36,6,FORN211
SKU10207,Bebidas MarcaPropria 207,Bebidas,MarcaPropria,7.54,10.71,116,3,FORN212
SKU10208,Congelados Premium 208,Congelados,Premium,26.74,38.66,74,5,FORN213
SKU10209,Mercearia Regional 209,Mercearia,Regional,15.12,21.9,16,3,FORN214
SKU10210,Bebidas MarcaA 210,Bebidas,MarcaA,8.13,12.63,109,2,FORN200
SKU10211,Bebidas MarcaB 211,Bebidas,MarcaB,4.97,7.14,34,2,FORN201
SKU10212,Hortifruti MarcaC 212,Hortifruti,MarcaC,3.08,4.76,150,1,FORN202
SKU10213,Bebidas MarcaPropria 213,Bebidas,MarcaPropria,5.28,7.5,61,3,FORN203
SKU10214,Mercearia Premium 214,Mercearia,Premium,5.91,7.97,19,3,FORN204
SKU10215,Padaria Regional 215,Padaria,Regional,14.16,22.11,93,1,FORN205
SKU10216,Congelados MarcaA 216,Congelados,MarcaA,12.4,18.46,15,4,FORN206
SKU10217,Mercearia MarcaB 217,Mercearia,MarcaB,14.41,20.97,46,2,FORN207
SKU10218,Hortifruti MarcaC 218,Hortifruti,MarcaC,7.57,12.19,47,2,FORN208
SKU10219,Higiene MarcaPropria 219,Higiene,MarcaPropria,23.64,35.92,22,7,FORN209
SKU10220,Congelados Premium 220,Congelados,Premium,17.98,25.29,46,4,FORN210
SKU10221,Padaria Regional 221,Padaria,Regional,7.72,12.95,74,2,FORN211
SKU10222,Laticinios MarcaA 222,Laticinios,MarcaA,22.01,29.86,88,2,FORN212
SKU10223,Higiene MarcaB 223,Higiene,MarcaB,20.89,31.33,31,3,FORN213
SKU10224,Limpeza MarcaC 224,Limpeza,MarcaC,24.44,33.33,85,4,FORN214
SKU10225,Bebidas MarcaPropria 225,Bebidas,MarcaPropria,11.81,16.49,73,2,FORN200
SKU10226,Laticinios Premium 226,Laticinios,Premium,17.17,24.37,22,1,FORN201
SKU10227,Laticinios Regional 227,Laticinios,Regional,6.24,8.41,81,2,FORN202
SKU10228,Mercearia MarcaA 228,Mercearia,MarcaA,14.31,20.99,53,3,FORN203
SKU10229,Padaria MarcaB 229,Padaria,MarcaB,2.78,4.34,121,2,FORN204
SKU10230,Mercearia MarcaC 230,Mercearia,MarcaC,17.09,23.89,71,2,FORN205
SKU10231,Padaria MarcaPropria 231,Padaria,MarcaPropria,15.22,23.97,77,2,FORN206
SKU10232,Laticinios Premium 232,Laticinios,Premium,12.98,17.09,77,1,FORN207
SKU10233,Bebidas Regional 233,Bebidas,Regional,6.68,9.21,221,2,FORN208
SKU10234,Limpeza MarcaA 234,Limpeza,MarcaA,3.88,5.29,114,6,FORN209
SKU10235,Mercearia MarcaB 235,Mercearia,MarcaB,23.09,33.71,53,5,FORN210
SKU10236,Higiene MarcaC 236,Higiene,MarcaC,4.97,7.33,26,6,FORN211
SKU10237,Congelados MarcaPropria 237,Congelados,MarcaPropria,5.47,7.81,62,3,FORN212
SKU10238,Mercearia Premium 238,Mercearia,Premium,7.86,10.87,40,2,FORN213
SKU10239,Limpeza Regional 239,Limpeza,Regional,4.51,6.36,38,4,FORN214
SKU10240,Congelados MarcaA 240,Congelados,MarcaA,18.41,26.03,23,4,FORN200
SKU10241,Hortifruti MarcaB 241,Hortifruti,MarcaB,5.78,8.47,136,2,FORN201
SKU10242,Bebidas MarcaC 242,Bebidas,MarcaC,4.65,7.34,30,2,FORN202
SKU10243,Limpeza MarcaPropria 243,Limpeza,MarcaPropria,3.91,5.83,14,3,FORN203
SKU10244,Higiene Premium 244,Higiene,Premium,4.89,7.69,9,7,FORN204
SKU10245,Padaria Regional 245,Padaria,Regional,6.54,10.84,36,1,FORN205
SKU10246,Hortifruti MarcaA 246,Hortifruti,MarcaA,1.59,2.32,53,1,FORN206
SKU10247,Congelados MarcaB 247,Congelados,MarcaB,24.73,36.72,25,4,FORN207
SKU10248,Higiene MarcaC 248,Higiene,MarcaC,7.9,11.69,92,5,FORN208
SKU10249,Hortifruti MarcaPropria 249,Hortifruti,MarcaPropria,3.89,5.58,189,2,FORN209
